サンプル名,Ce,Co,Zn,Ce5Co19,Ce2Co17,Ce1Co5,CeO2_cubic,Ce2O3_trig,Co_cubic,T_a,Coercivity,XRD サンプル名
CeCo_2-7_10_-15,12.93680878,87.06319122000001,0.0,0.051,0.791,0.15,0.0082,0.0,0.0,450,0.3278111981184889,CeCo_2-7_202.xy
CeCo_2-7_15_-15,12.64064502,87.35935498,0.0,0.0513,0.81,0.131,0.0078,0.0,0.0,450,0.3193018413943224,CeCo_2-7_219.xy
CeCo_2-7_20_-15,12.23683191,87.76316809,0.0,0.0578,0.827,0.1061,0.0091,0.0,0.0,450,0.18063997240713955,CeCo_2-7_236.xy
CeCo_2-7_25_-15,12.00644168,87.99355832,0.0,0.099,0.822,0.0663,0.0126,0.0,0.0,450,0.11266789259561882,CeCo_2-7_253.xy
CeCo_2-7_30_-15,11.517720469999999,88.48227953,0.0,0.0789,0.857,0.0563,0.0074,0.0,0.0,450,0.0627870428742682,CeCo_2-7_270.xy
CeCo_2-7_35_-15,10.91305346,89.08694654,0.0,0.0766,0.881,0.034,0.0079,0.0,0.0,450,0.05865296317092965,CeCo_2-7_287.xy
CeCo_2-7_40_-15,10.33414863,89.66585137,0.0,0.0853,0.9023,0.0,0.0124,0.0,0.0,450,,CeCo_2-7_304.xy
CeCo_2-7_-40_-10,10.99812795,89.00187205,0.0,0.0638,0.9227,0.0,0.0135,0.0,0.0,450,0.040938537614488714,CeCo_2-7_33.xy
CeCo_2-7_-35_-10,11.991083230000001,88.00891677,0.0,0.0716,0.841,0.078,0.0094,0.0,0.0,450,0.05468918081011051,CeCo_2-7_50.xy
CeCo_2-7_-30_-10,12.26833957,87.73166043,0.0,0.0957,0.792,0.1028,0.0094,0.0,0.0,450,0.08170503124849884,CeCo_2-7_67.xy
CeCo_2-7_-25_-10,13.029778689999999,86.97022131,0.0,0.0465,0.848,0.0979,0.0076,0.0,0.0,450,0.13161261128930174,CeCo_2-7_84.xy
CeCo_2-7_-20_-10,13.47232518,86.52767482,0.0,0.0344,0.801,0.157,0.0078,0.0,0.0,450,0.3714217248472863,CeCo_2-7_101.xy
CeCo_2-7_-15_-10,13.87002321,86.12997679,0.0,0.0392,0.708,0.245,0.0083,0.0,0.0,450,0.6526567497181252,CeCo_2-7_118.xy
CeCo_2-7_-10_-10,14.701460290000002,85.29853971,0.0,0.037,0.624,0.333,0.0067,0.0,0.0,450,0.7845871855181872,CeCo_2-7_135.xy
CeCo_2-7_-5_-10,14.08529865,85.91470135,0.0,0.0429,0.544,0.406,0.007,0.0,0.0,450,0.8746764421543781,CeCo_2-7_152.xy
CeCo_2-7_0_-10,14.09712069,85.90287931,0.0,0.0448,0.539,0.411,0.0051,0.0,0.0,450,1.009515959634962,CeCo_2-7_169.xy
CeCo_2-7_5_-10,14.102705760000001,85.89729424,0.0,0.0447,0.52,0.431,0.0039,0.0,0.0,450,1.1121718204337565,CeCo_2-7_186.xy
CeCo_2-7_10_-10,13.98337525,86.01662475,0.0,0.0716,0.546,0.377,0.0055,0.0,0.0,450,1.1126033249844616,CeCo_2-7_203.xy
CeCo_2-7_15_-10,14.167160800000001,85.8328392,0.0,0.0423,0.576,0.376,0.0054,0.0,0.0,450,1.0088971666744697,CeCo_2-7_220.xy
CeCo_2-7_20_-10,13.578299269999999,86.42170073,0.0,0.0463,0.647,0.301,0.0057,0.0,0.0,450,0.8553295507273484,CeCo_2-7_237.xy
CeCo_2-7_25_-10,13.3103929,86.6896071,0.0,0.0487,0.762,0.182,0.0074,0.0,0.0,450,0.6523322438508743,CeCo_2-7_254.xy
CeCo_2-7_30_-10,12.7896161,87.2103839,0.0,0.0564,0.8317,0.1038,0.0081,0.0,0.0,450,0.438612011620532,CeCo_2-7_271.xy
CeCo_2-7_35_-10,11.96962339,88.03037661,0.0,0.0873,0.787,0.1167,0.009,0.0,0.0,450,0.15004815349339107,CeCo_2-7_288.xy
CeCo_2-7_40_-10,11.17000558,88.82999442,0.0,0.0833,0.86,0.047,0.0088,0.0,0.0,450,0.06234350887997765,CeCo_2-7_305.xy
CeCo_2-7_-40_-5,11.9822627,88.0177373,0.0,0.0345,0.891,0.063,0.0113,0.0,0.0,450,0.06196110147702574,CeCo_2-7_34.xy
CeCo_2-7_-35_-5,12.89306315,87.10693685000001,0.0,0.0613,0.8244,0.1034,0.0109,0.0,0.0,450,0.1297006500195638,CeCo_2-7_51.xy
CeCo_2-7_-30_-5,13.44378242,86.55621758000001,0.0,0.0421,0.769,0.179,0.0094,0.0,0.0,450,0.3707018125565965,CeCo_2-7_68.xy
CeCo_2-7_-25_-5,13.859315720000001,86.14068428,0.0,0.0364,0.639,0.318,0.0064,0.0,0.0,450,0.692717162039896,CeCo_2-7_85.xy
CeCo_2-7_-20_-5,14.623797020000001,85.37620298,0.0,0.0408,0.513,0.443,0.0031,0.0,0.0,450,1.0477249561823831,CeCo_2-7_102.xy
CeCo_2-7_-15_-5,15.04478806,84.95521194,0.0,0.0301,0.391,0.576,0.0026,0.0,0.0,450,1.2740171396969788,CeCo_2-7_119.xy
CeCo_2-7_-10_-5,15.454120560000002,84.54587944000001,0.0,0.0321,0.293,0.671,0.0033,0.0,0.0,450,1.413023476770305,CeCo_2-7_136.xy
CeCo_2-7_-5_-5,15.128827189999999,84.87117280999999,0.0,0.0375,0.278,0.679,0.005,0.0,0.0,450,1.541834875738755,CeCo_2-7_153.xy
CeCo_2-7_0_-5,15.443326090000001,84.55667391,0.0,0.0366,0.254,0.705,0.0044,0.0,0.0,450,1.566744396420701,CeCo_2-7_170.xy
CeCo_2-7_5_-5,15.33615455,84.66384545,0.0,0.0271,0.268,0.702,0.0025,0.0,0.0,450,1.6926382802561677,CeCo_2-7_187.xy
CeCo_2-7_10_-5,15.18418731,84.81581269,0.0,0.044,0.254,0.699,0.0032,0.0,0.0,450,1.795266627643303,CeCo_2-7_204.xy
CeCo_2-7_15_-5,15.49116614,84.50883386,0.0,0.0426,0.27,0.683,0.0042,0.0,0.0,450,1.6525584374892326,CeCo_2-7_221.xy
CeCo_2-7_20_-5,14.87226464,85.12773536,0.0,0.0403,0.306,0.65,0.0034,0.0,0.0,450,1.565635959871785,CeCo_2-7_238.xy
CeCo_2-7_25_-5,14.359962309999998,85.64003769,0.0,0.0409,0.401,0.554,0.0043,0.0,0.0,450,1.4150981061383225,CeCo_2-7_255.xy
CeCo_2-7_30_-5,13.81740101,86.18259899,0.0,0.0416,0.598,0.356,0.004,0.0,0.0,450,1.1364312332246347,CeCo_2-7_272.xy
CeCo_2-7_35_-5,12.917343140000002,87.08265686,0.0,0.0658,0.69,0.235,0.009,0.0,0.0,450,0.7706127635837117,CeCo_2-7_289.xy
CeCo_2-7_40_-5,12.45231491,87.54768509,0.0,0.0425,0.786,0.161,0.0101,0.0,0.0,450,0.5243857837875834,CeCo_2-7_306.xy
CeCo_2-7_-40_0,13.17920812,86.82079188,0.0,0.0385,0.8469,0.102,0.0125,0.0,0.0,450,0.07518448163208807,CeCo_2-7_35.xy
CeCo_2-7_-35_0,13.952285680000001,86.04771432,0.0,0.0593,0.623,0.31,0.0078,0.0,0.0,450,0.4693083658894408,CeCo_2-7_52.xy
CeCo_2-7_-30_0,14.20087694,85.79912306,0.0,0.0724,0.478,0.443,0.0067,0.0,0.0,450,1.0637621137105595,CeCo_2-7_69.xy
CeCo_2-7_-25_0,15.119471379999998,84.88052861999999,0.0,0.0352,0.367,0.594,0.0034,0.0,0.0,450,1.2477602053264512,CeCo_2-7_86.xy
CeCo_2-7_-20_0,15.4297566,84.5702434,0.0,0.04,0.262,0.694,0.0045,0.0,0.0,450,1.593883223574434,CeCo_2-7_103.xy
CeCo_2-7_-15_0,15.641145279999998,84.35885472,0.0,0.105,0.25,0.639,0.0055,0.0,0.0,450,1.8134679141163548,CeCo_2-7_120.xy
CeCo_2-7_-10_0,16.20953805,83.79046195,0.0,0.103,0.192,0.696,0.0083,0.0,0.0,450,1.9145027422717757,CeCo_2-7_137.xy
CeCo_2-7_-5_0,16.42660867,83.57339133,0.0,0.096,0.164,0.737,0.0033,0.0,0.0,450,1.8740672493378332,CeCo_2-7_154.xy
CeCo_2-7_0_0,16.59927006,83.40072993999999,0.0,0.12,0.159,0.716,0.0041,0.0,0.0,450,2.012659891421201,CeCo_2-7_171.xy
CeCo_2-7_5_0,16.616313629999997,83.38368636999999,0.0,0.0612,0.278,0.66,0.0008,0.0,0.0,450,2.1359259169576905,CeCo_2-7_188.xy
CeCo_2-7_10_0,16.24720191,83.75279809,0.0,0.111,0.174,0.711,0.0038,0.0,0.0,450,2.234587565982724,CeCo_2-7_205.xy
